"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.440298958E0,-1.042986567E0,-6.967574331E-1,-5.095456678E-1
3.450331958E0,-1.074100186E0,-7.617463115E-1,-2.441493201E-1
3.460364958E0,-1.063009772E0,-8.461736736E-1,-1.952970028E-4
3.470396958E0,-1.021722583E0,-9.309527457E-1,2.853868085E-1
3.480429958E0,-9.092303395E-1,-1.004924994E0,4.706213379E-1
3.490462958E0,-7.008133543E-1,-1.077756743E0,5.772944319E-1
3.500494958E0,-4.717837644E-1,-1.097289074E0,6.551992249E-1
3.510527958E0,-2.520559251E-1,-1.112838575E0,9.319432640E-1
3.520560958E0,1.671011442E-1,-1.071982909E0,1.148310124E0
3.530592958E0,8.528029543E-1,-9.025577894E-1,8.581560802E-1
3.540625958E0,1.380661517E0,-6.582353917E-1,8.852848220E-1
3.550658958E0,1.503846563E0,-3.516544729E-1,9.188121718E-1
3.560690958E0,1.362121165E0,-3.540606022E-2,7.773428822E-1
3.570723958E0,1.111101367E0,1.874111554E-1,5.861050165E-1
3.580756958E0,8.023321277E-1,2.727378193E-1,3.527397162E-1
3.590788958E0,4.117053777E-1,2.762201285E-1,9.211703539E-2
3.600821958E0,-3.880095363E-2,2.616684553E-1,-1.287960345E-1
3.610854958E0,-4.378909636E-1,2.498600033E-1,-2.860931522E-1
3.620886958E0,-7.136210954E-1,2.680726182E-1,-4.037022936E-1
3.630919958E0,-8.745411479E-1,2.965430036E-1,-4.243885732E-1
3.640951958E0,-1.035624923E0,2.986079478E-1,-3.670039988E-1
3.650984958E0,-1.159967133E0,2.613658619E-1,-2.314912677E-1
3.661017958E0,-1.176607724E0,1.869790462E-1,-9.775316656E-2
3.671049958E0,-1.019215297E0,1.156359985E-1,-2.766434669E-2
3.681082958E0,-7.922462654E-1,5.037668645E-2,8.726384640E-3
3.691115958E0,-5.689796913E-1,7.934086919E-3,7.820943296E-2
3.701147958E0,-1.828886265E-1,-3.074232101E-2,1.391947228E-1
3.711180958E0,2.068926162E-1,-7.318170458E-2,1.260694778E-1
3.721213958E0,5.134364051E-1,-1.443876350E-1,1.402302647E-1
3.731245958E0,7.072002679E-1,-1.687640923E-1,1.404711699E-1
3.741278958E0,8.619667107E-1,-1.686465633E-1,9.956112564E-2
3.751311958E0,9.646444023E-1,-1.542638746E-1,1.358249724E-2
3.761343958E0,9.906574953E-1,-1.216483980E-1,-5.851776481E-2
3.771376958E0,9.448474842E-1,-6.269998580E-2,-1.134161031E-1
